NtsbNo;EventDate;City;State;HighestInjuryLevel;FatalInjuryCount;SeriousInjuryCount;MinorInjuryCount;OnboardInjuryCount;OnGroundInjuryCount;Latitude;Longitude;Make;Model;AirCraftCategory;EngineType;AirCraftDamage;WeatherCondition;Operator;BroadPhaseofFlight;Year;Month;Quarter;YearMonth;TotalInjuries;OperationSegment
ERA24LA084;2023-12-31 15:13:00+00:00;Midland;Virginia;None;0,0;0,0;0,0;0,0;0,0;38,586285;-77,710631;GOLDEN AVIO S R L;F30 Brio;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ERA24LA079;2023-12-30 15:04:00+00:00;Daytona Beach;Florida;None;0,0;0,0;0,0;0,0;0,0;29,163165;-81,07824;ROBINSON HELICOPTER, DJI;R44, MAVIC 2;HELI, UNMANNED;REC;Substantial, Destroyed;VMC;Tunica Helicopters LLC;Approach;2023;12;4;2023-12;0,0;Aerial Work
CEN24LA081;2023-12-29 15:27:00+00:00;Beaumont;Texas;None;0,0;0,0;0,0;0,0;0,0;30,070603;-94,215837;MAULE;M-6-235;AIR;REC;Substantial;VMC;TAF AERIAL SERVICES LLC;Landing;2023;12;4;2023-12;0,0;Aerial Work
WPR24LA062;2023-12-28 10:57:00+00:00;Lake Havasu;California;Minor;0,0;0,0;1,0;1,0;0,0;34,51109;-114,38233;PROGRESSIVE AERODYNE;SEAREY LSA;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;1,0;Commercial Non-Scheduled
WPR24LA061;2023-12-26 13:21:00+00:00;Prescott;Arizona;None;0,0;0,0;0,0;0,0;0,0;34,65483;-112,41922;GLASAIR;SH2;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
CEN24LA074;2023-12-26 12:15:00+00:00;Ponca City;Oklahoma;None;0,0;0,0;0,0;0,0;0,0;36,731955;-97,099782;PIPER;PA-34-200T;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
ANC24LA009;2023-12-26 11:49:00+00:00;Palmer;Alaska;Minor;0,0;0,0;3,0;3,0;0,0;61,252209;-148,53131;AIRBUS HELICOPTERS;AS350B3;HELI;TS;Substantial;VMC;Alpha Aviation LLC;Landing;2023;12;4;2023-12;3,0;Commercial Non-Scheduled
CEN24LA078;2023-12-23 17:30:00+00:00;Gulfport;Mississippi;Minor;0,0;0,0;1,0;1,0;0,0;30,407291;-89,072842;CESSNA;210M;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;1,0;Personal
WPR24LA069;2023-12-23 09:25:00+00:00;Whitefish;Montana;None;0,0;0,0;0,0;0,0;0,0;48,40802;-114,29957;TAYLORCRAFT;BC12-D;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
DCA24LA051;2023-12-19 18:30:00+00:00;St. Louis;Missouri;None;0,0;0,0;0,0;0,0;0,0;38,747222;-90,361389;BOEING;737;AIR;TF;Substantial;VMC;SOUTHWEST AIRLINES CO;Enroute;2023;12;4;2023-12;0,0;Commercial Scheduled
CEN24LA072;2023-12-19 10:05:00+00:00;Red Lake;Minnesota;None;0,0;0,0;0,0;0,0;0,0;47,929656;-95,032922;CESSNA;172M;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ERA24LA068;2023-12-18 18:35:00+00:00;Pahokee;Florida;Minor;0,0;0,0;2,0;2,0;0,0;26,784113;-80,693201;CIRRUS DESIGN;SR20;AIR;REC;Substantial;VMC;SkyBlue Aviation;Approach;2023;12;4;2023-12;2,0;Instructional
CEN24LA069;2023-12-18 18:30:00+00:00;Texarkana;Arkansas;Minor;0,0;0,0;2,0;2,0;0,0;33,453611;-93,990833;AERO COMMANDER;100;AIR;REC;Substantial;VMC;;Approach;2023;12;4;2023-12;2,0;Commercial Non-Scheduled
CEN24LA068;2023-12-18 15:20:00+00:00;Forney;Texas;Minor;0,0;0,0;1,0;1,0;0,0;32,75467;-96,46528;PIPER;PA-23-250;AIR;REC;Substantial;VMC;PACIFIC FLEET AVIATION LLC;Approach;2023;12;4;2023-12;1,0;Aerial Work
CEN24LA071;2023-12-17 11:46:00+00:00;Stephenville;Texas;None;0,0;0,0;0,0;0,0;0,0;32,23063;-98,173341;CESSNA;172N;AIR;REC;Substantial;VMC;Optima Aviation LLC DBA N4501E;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
ERA24LA083;2023-12-16 11:37:00+00:00;Tuscumbia;Alabama;None;0,0;0,0;0,0;0,0;0,0;34,710658;-87,725081;RABE RICHARD;EXEC 162F;HELI;REC;Substantial;Unknown;;Maneuvering;2023;12;4;2023-12;0,0;Personal
ERA24LA085;2023-12-15 21:33:00+00:00;Griffin;Georgia;None;0,0;0,0;0,0;0,0;0,0;33,275449;-84,41274;BEECH;58;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ERA24LA064;2023-12-12 16:44:00+00:00;Sidney;Ohio;None;0,0;0,0;0,0;0,0;0,0;40,241278;-84,147861;BEECH;A36;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
CEN24LA062;2023-12-12 13:30:00+00:00;New Orleans;Louisiana;None;0,0;0,0;0,0;0,0;0,0;30,041674;-90,026183;CESSNA;340A;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ANC24LA010;2023-12-11 15:00:00+00:00;Kapolei;Hawaii;None;0,0;0,0;0,0;0,0;0,0;21,3103;-158,0713;CESSNA;172;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ERA24LA065;2023-12-11 12:15:00+00:00;Newport News;Virginia;None;0,0;0,0;0,0;0,0;0,0;37,13167;-76,48833;CESSNA;172;AIR;REC;Substantial;VMC;RICK AVIATION INC;Takeoff;2023;12;4;2023-12;0,0;Instructional
ERA24LA063;2023-12-10 22:50:00+00:00;Lajas;Puerto Rico;None;0,0;0,0;0,0;0,0;0,0;18,010856;-67,069085;CESSNA;150L;AIR;REC;Substantial;VMC;;Takeoff;2023;12;4;2023-12;0,0;Personal
CEN24LA058;2023-12-10 17:11:00+00:00;Ann Arbor;Michigan;None;0,0;0,0;0,0;0,0;0,0;42,226176;-83,738966;PIPER;PA46-500TP;AIR;TP;Substantial;VMC;CAHOOTS AIR LLC;Approach;2023;12;4;2023-12;0,0;Personal
CEN24LA059;2023-12-10 12:13:00+00:00;Lubbock;Texas;None;0,0;0,0;0,0;0,0;0,0;33,662302;-101,80977;PIPER;PA28;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
CEN24LA103;2023-12-08 18:05:00+00:00;Bremen;Indiana;None;0,0;0,0;0,0;0,0;0,0;41,473284;-86,194006;VANS;RV6;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
ERA24LA060;2023-12-08 17:11:00+00:00;Mount Vernon;Alabama;None;0,0;0,0;0,0;0,0;0,0;31,146308;-87,940256;CESSNA;150;AIR;REC;Substantial;VMC;;Maneuvering;2023;12;4;2023-12;0,0;Personal
ERA24LA062;2023-12-08 13:02:00+00:00;Miami;Florida;None;0,0;0,0;0,0;0,0;0,0;25,649375;-80,436578;CESSNA;172M;AIR;REC;Substantial;VMC;PILOT TRAINING CENTER LLC;Taxi;2023;12;4;2023-12;0,0;Instructional
ERA24LA059;2023-12-07 13:48:00+00:00;Zephyrhills;Florida;Serious;0,0;2,0;0,0;2,0;0,0;28,234277;-82,156168;CESSNA;172;AIR;REC;Substantial;VMC;;Initial Climb;2023;12;4;2023-12;2,0;Instructional
CEN24LA055;2023-12-06 15:26:00+00:00;Alamosa;Colorado;None;0,0;0,0;0,0;0,0;0,0;37,435125;-105,86787;PIPER;PA-30;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
ANC24LA007;2023-12-06 15:15:00+00:00;New Stuyahok;Alaska;None;0,0;0,0;0,0;0,0;0,0;59,4525;-157,3775;BEECH;200;AIR;TP;Substantial;IMC;DENAINA AIR TAXI LLC;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
WPR24LA092;2023-12-05 18:30:00+00:00;Calexico;California;None;0,0;0,0;0,0;0,0;0,0;32,691817;-115,43301;ROBINSON;R44 II;HELI;REC;Substantial;VMC;MERTEN AVIATION SERVICES LLC;Maneuvering;2023;12;4;2023-12;0,0;Aerial Work
CEN24LA056;2023-12-05 17:45:00+00:00;Fordyce;Arkansas;Minor;0,0;0,0;2,0;2,0;0,0;33,842153;-92,370173;VANS;RV6;AIR;REC;Substantial;VMC;;Enroute;2023;12;4;2023-12;2,0;Personal
ERA24LA057;2023-12-05 16:00:00+00:00;Social Circle;Georgia;None;0,0;0,0;0,0;0,0;0,0;33,693174;-83,657672;TEXTRON AVIATION;172S;AIR;REC;Substantial;VMC;;Maneuvering;2023;12;4;2023-12;0,0;Instructional
WPR24LA051;2023-12-04 20:30:00+00:00;Mesa;Arizona;None;0,0;0,0;0,0;0,0;0,0;33,307824;-111,65545;PIPER;PA-28-180;AIR;REC;Substantial;VMC;RED ROCK FLYING SCHOOL LLC;Enroute;2023;12;4;2023-12;0,0;Instructional
ERA24LA054;2023-12-03 22:04:00+00:00;Millington;Tennessee;Minor;0,0;0,0;1,0;1,0;0,0;35,368195;-89,859235;PIPER;PA-32-260;AIR;REC;Substantial;VMC;;Approach;2023;12;4;2023-12;1,0;Personal
ERA24LA052;2023-11-30 12:30:00+00:00;Martinsville;Virginia;None;0,0;0,0;0,0;0,0;0,0;36,630427;-80,017605;STINSON;108-2;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Instructional
CEN24LA051;2023-11-29 18:15:00+00:00;Glencoe;Minnesota;None;0,0;0,0;0,0;0,0;0,0;44,756006;-94,081461;PIPER;PA28;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Instructional
ERA24LA061;2023-11-29 17:19:00+00:00;Manassas;Virginia;None;0,0;0,0;0,0;0,0;0,0;38,721025;-77,515105;DIAMOND AIRCRAFT IND;DA 40;AIR;REC;Substantial;VMC;Piston2Jet;Initial Climb;2023;11;4;2023-11;0,0;Personal
WPR24LA049;2023-11-29 13:25:00+00:00;Watsonville;California;None;0,0;0,0;0,0;0,0;0,0;36,935733;-121,78963;CESSNA;172N;AIR;;Substantial;VMC;PARKER HELICOPTER LLC;Initial Climb;2023;11;4;2023-11;0,0;Instructional
ERA24LA051;2023-11-28 19:28:00+00:00;Stuart;Florida;None;0,0;0,0;0,0;0,0;0,0;27,181699;-80,221293;LANCAIR;235;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
WPR24LA043;2023-11-28 17:40:00+00:00;Modesto;California;None;0,0;0,0;0,0;0,0;0,0;37,63;-120,95;CESSNA;180J;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
CEN24LA050;2023-11-28 11:31:00+00:00;Minneapolis;Minnesota;Minor;0,0;0,0;2,0;1,0;1,0;45,062469;-93,353965;PIPER;PA-28-181;AIR;REC;Substantial;VMC;THUNDERBIRD AIRCRAFT CO;Approach;2023;11;4;2023-11;3,0;Personal
WPR24LA058;2023-11-27 11:20:00+00:00;Las Cruces;New Mexico;None;0,0;0,0;0,0;0,0;0,0;32,289414;-106,92196;CESSNA;172P;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
CEN24LA054;2023-11-26 17:40:00+00:00;Council Bluffs;Iowa;None;0,0;0,0;0,0;0,0;0,0;41,172802;-95,804;CESSNA;560XL;AIR;TF;Substantial;VMC;Ultra Air, LLC;Enroute;2023;11;4;2023-11;0,0;Commercial Non-Scheduled
ERA24LA049;2023-11-26 09:35:00+00:00;Valdosta;Georgia;None;0,0;0,0;0,0;0,0;0,0;30,775497;-83,272333;BEECH;A36;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Aerial Work
ERA24LA047;2023-11-22 18:20:00+00:00;Meridianville;Alabama;Minor;0,0;0,0;2,0;2,0;0,0;34,869099;-86,556948;MOONEY;M20F;AIR;REC;Substantial;VMC;;Approach;2023;11;4;2023-11;2,0;Commercial Non-Scheduled
CEN24LA044;2023-11-22 13:15:00+00:00;DeWitt;Arkansas;Minor;0,0;0,0;1,0;1,0;0,0;34,262278;-91,3075;AERONCA;7AC;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;1,0;Commercial Non-Scheduled
CEN24LA053;2023-11-21 22:00:00+00:00;Dodge Center;Minnesota;Minor;0,0;0,0;2,0;2,0;0,0;44,009;-92,734;AIRBUS HELICOPTERS DEUTSCHLAND;EC135T3;HELI;TS;Substantial;VMC;;Enroute;2023;11;4;2023-11;2,0;Aerial Work
ANC24LA003;2023-11-21 22:00:00+00:00;McCarthy;Alaska;None;0,0;0,0;0,0;0,0;0,0;61,44;-142,9;CESSNA;180H;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Commercial Non-Scheduled
CEN24LA043;2023-11-21 11:00:00+00:00;Eau Claire;Wisconsin;None;0,0;0,0;0,0;0,0;0,0;44,860379;-91,485462;BEARHAWK;Four;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Aerial Work
ERA24LA048;2023-11-20 11:17:00+00:00;Blairstown;New Jersey;None;0,0;0,0;0,0;0,0;0,0;40,971133;-74,997504;CESSNA;172N;AIR;REC;Substantial;VMC;;Approach;2023;11;4;2023-11;0,0;Instructional
ERA24LA044;2023-11-19 12:26:00+00:00;Saluda;South Carolina;Minor;0,0;0,0;2,0;2,0;0,0;33,9325;-81,793889;AERO COMMANDER;112;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;2,0;Instructional
ERA24LA042;2023-11-18 15:30:00+00:00;Ogdensburg;New York;None;0,0;0,0;0,0;0,0;0,0;44,68225;-75,46325;ROBINSON;R44 II;HELI;REC;Substantial;VMC;;Taxi;2023;11;4;2023-11;0,0;Personal
WPR24LA048;2023-11-18 13:25:00+00:00;Hungry Horse;Montana;Minor;0,0;0,0;2,0;2,0;0,0;48,32011;-113,98095;FLIGHT DESIGN GMBH;CTLS;AIR;REC;Substantial;VMC;;Enroute;2023;11;4;2023-11;2,0;Personal
ANC24LA006;2023-11-18 13:00:00+00:00;Big Lake;Alaska;None;0,0;0,0;0,0;0,0;0,0;61,534683;-149,81254;CHARLES J KASE;KASE KUB;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
CEN24LA047;2023-11-18 11:50:00+00:00;Barataria;Louisiana;None;0,0;0,0;0,0;0,0;0,0;29,738707;-90,142605;CESSNA;A185F;AIR;REC;Substantial;VMC;Southern Seaplane, Inc.;Landing;2023;11;4;2023-11;0,0;Commercial Non-Scheduled
ERA24LA043;2023-11-17 18:08:00+00:00;Perry;Florida;Minor;0,0;0,0;1,0;1,0;0,0;29,933908;-83,531331;LANCAIR;IV;AIR;REC;Substantial;VMC;;Enroute;2023;11;4;2023-11;1,0;Personal
CEN24LA039;2023-11-17 16:24:00+00:00;Ozark;Missouri;Minor;0,0;0,0;1,0;1,0;0,0;36,996031;-93,248258;PIPER;PA32;AIR;REC;Substantial;VMC;;Enroute;2023;11;4;2023-11;1,0;Personal
CEN24LA041;2023-11-17 14:10:00+00:00;Buffalo;Minnesota;None;0,0;0,0;0,0;0,0;0,0;45,159655;-93,84329;PIPER;J3C;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
CEN24LA040;2023-11-17 14:04:00+00:00;Mountain View;Arkansas;None;0,0;0,0;0,0;0,0;0,0;35,86448;-92,090339;ICP SRL;SAVANNAH S;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
WPR24LA044;2023-11-16 18:38:00+00:00;Yuma;Arizona;None;0,0;0,0;0,0;0,0;0,0;32,656574;-114,60598;THEODORE C KALMAN;ELA ECLIPSE 10;GYRO;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Commercial Non-Scheduled
ERA24LA045;2023-11-15 20:30:00+00:00;Chesterfield;Virginia;None;0,0;0,0;0,0;0,0;0,0;37,4;-77,516667;BELL;407;HELI;TS;Substantial;VMC;;Emergency Descent;2023;11;4;2023-11;0,0;Instructional
WPR24LA036;2023-11-15 08:45:00+00:00;Estacada;Oregon;None;0,0;0,0;0,0;0,0;0,0;45,265907;-122,35522;BELL;OH-58A;HELI;TS;Substantial;VMC;EDGEFIELD AVIATION LLC;Maneuvering;2023;11;4;2023-11;0,0;Other / Unknown
ERA24LA037;2023-11-13 08:48:00+00:00;Frederick;Maryland;None;0,0;0,0;0,0;0,0;0,0;39,416743;-77,372694;CESSNA;210;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
CEN24LA037;2023-11-11 13:41:00+00:00;McKinney;Texas;Minor;0,0;0,0;1,0;0,0;1,0;33,203562;-96,742227;CHARLES L. HAYES;Lancair IVP Turbine;AIR;TP;Substantial;VMC;;Landing;2023;11;4;2023-11;2,0;Personal
ERA24LA032;2023-11-11 09:15:00+00:00;Columbia;Tennessee;Minor;0,0;0,0;1,0;1,0;0,0;35,698407;-86,956162;TAYLORCRAFT;BC12-65;AIR;REC;Substantial;VMC;;Takeoff;2023;11;4;2023-11;1,0;Personal
WPR24LA031;2023-11-10 14:00:00+00:00;Pendleton;Oregon;None;0,0;0,0;0,0;0,0;0,0;45,695095;-118,84336;AMAZON.COM SERVICES;MK27-2;UNMANNED;;Substantial;VMC;AMAZON.COM SERVICES LLC;Landing;2023;11;4;2023-11;0,0;Aerial Work
WPR24LA033;2023-11-09 13:00:00+00:00;Baker City;Oregon;None;0,0;0,0;0,0;0,0;0,0;44,837333;-117,80913;PIPER;PA-12;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
ERA24LA034;2023-11-08 17:45:00+00:00;Florala;Alabama;None;0,0;0,0;0,0;0,0;0,0;31,0488;-86,30968;PIPER;PA32R;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Instructional
CEN24LA070;2023-11-08 13:45:00+00:00;Claremore;Oklahoma;None;0,0;0,0;0,0;0,0;0,0;36,376111;-95,705278;HELICOPTERES GUIMBAL;CABRI G2;HELI;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Instructional
CEN24LA034;2023-11-08 09:30:00+00:00;Fort Worth;Texas;None;0,0;0,0;0,0;0,0;0,0;32,930566;-97,412362;GRUMMAN AMERICAN AVN.;AA-5;AIR;REC;Substantial;VMC;;Taxi;2023;11;4;2023-11;0,0;Personal
ERA24LA039;2023-11-07 18:00:00+00:00;London;Kentucky;None;0,0;0,0;0,0;0,0;0,0;37,086889;-84,077389;GAULDEN WILLIAM D;VANS RV-4;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Personal
WPR24LA028;2023-11-06 11:00:00+00:00;Mesa;Arizona;None;0,0;0,0;0,0;0,0;0,0;33,460841;-111,72832;MD HELICOPTERS;369FF;HELI;TS;Substantial;VMC;MD Helicopters;Landing;2023;11;4;2023-11;0,0;Aerial Work
CEN24LA032;2023-11-05 16:00:00+00:00;Kokomo;Indiana;Minor;0,0;0,0;1,0;0,0;1,0;40,427163;-86,201755;TOM HODGSON;29;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;2,0;Aerial Work
ANC24LA002;2023-11-04 15:00:00+00:00;Wasilla;Alaska;None;0,0;0,0;0,0;0,0;0,0;61,572;-149,5395;PIPER;PA-18-150;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Instructional
ERA24LA035;2023-11-04 14:20:00+00:00;Tompkinsville;Kentucky;None;0,0;0,0;0,0;0,0;0,0;36,729028;-85,652389;PIPER;PA18;AIR;REC;Substantial;VMC;G & L AIRBORNE INC;Landing;2023;11;4;2023-11;0,0;Personal
WPR24LA027;2023-11-04 14:00:00+00:00;Ririe;Idaho;None;0,0;0,0;0,0;0,0;0,0;43,48488;-111,76102;KITFOX;S5;AIR;REC;Substantial;VMC;;Landing;2023;11;4;2023-11;0,0;Commercial Non-Scheduled
CEN24LA035;2023-11-03 11:32:00+00:00;Houston;Texas;None;0,0;0,0;0,0;0,0;0,0;30,392952;-95,444438;GRASSMAN TIMOTHY B;RV-14A;AIR;REC;Substantial;VMC;;Approach;2023;11;4;2023-11;0,0;Commercial Non-Scheduled
CEN24LA030;2023-10-30 18:30:00+00:00;Lamar;Colorado;None;0,0;0,0;0,0;0,0;0,0;38,070556;-102,63472;MOONEY;M20K;AIR;REC;Substantial;VMC;;Enroute;2023;10;4;2023-10;0,0;Aerial Work
ERA24LA031;2023-10-29 13:15:00+00:00;Ocklawaha;Florida;Minor;0,0;0,0;1,0;1,0;0,0;29,120762;-81,889243;PIPER;PA-28-235;AIR;REC;Substantial;VMC;;Landing;2023;10;4;2023-10;1,0;Personal
ERA24LA046;2023-10-29 11:56:00+00:00;Highgate;Vermont;None;0,0;0,0;0,0;0,0;0,0;44,940278;-73,097472;PIPER;PA-39;AIR;REC;Substantial;VMC;;Landing;2023;10;4;2023-10;0,0;Personal
ERA24LA025;2023-10-28 17:25:00+00:00;Williamston;North Carolina;Serious;0,0;2,0;0,0;2,0;0,0;35,862193;-77,178201;CESSNA;305;AIR;REC;Substantial;VMC;;Landing;2023;10;4;2023-10;2,0;Personal
ERA24LA029;2023-10-28 16:00:00+00:00;Elmira;New York;None;0,0;0,0;0,0;0,0;0,0;42,120908;-76,901072;SCHWEIZER;SGS 2-33A;GLI;;Substantial;VMC;HARRIS HILL SOARING CORP;Landing;2023;10;4;2023-10;0,0;Personal
ERA24LA027;2023-10-28 11:50:00+00:00;Asheville;Alabama;None;0,0;0,0;0,0;0,0;0,0;33,83871;-86,211365;MUSTANG;II;AIR;REC;Substantial;VMC;;Initial Climb;2023;10;4;2023-10;0,0;Personal
CEN24LA029;2023-10-28 10:30:00+00:00;Abbeville;Louisiana;None;0,0;0,0;0,0;0,0;0,0;30,020965;-92,132387;AG-CAT CORPORATION;G-164B;AIR;TP;Substantial;VMC;Vincent Flying Service, Inc.;Maneuvering;2023;10;4;2023-10;0,0;Aerial Work
ERA24LA028;2023-10-28 09:46:00+00:00;Ronkonkoma;New York;None;0,0;0,0;0,0;0,0;0,0;40,796136;-73,100665;ROBINSON;R22 BETA;HELI;REC;Substantial;VMC;Flying Helicopters Made Easy;Maneuvering;2023;10;4;2023-10;0,0;Instructional
ERA24LA024;2023-10-27 14:30:00+00:00;Rangeley;Maine;Minor;0,0;0,0;2,0;2,0;0,0;44,99257;-70,660042;PIPER;PA-12;AIR;REC;Substantial;VMC;;Landing;2023;10;4;2023-10;2,0;Personal
WPR24LA025;2023-10-26 15:02:00+00:00;Reno;Nevada;Serious;0,0;1,0;1,0;2,0;0,0;39,67;-119,88;GULFSTREAM AEROSPACE;Commander 690C;AIR;TP;Substantial;VMC;;Approach;2023;10;4;2023-10;2,0;Aerial Work
ERA24LA019;2023-10-25 09:57:00+00:00;Atlanta;Georgia;None;0,0;0,0;0,0;0,0;0,0;33,308787;-84,766841;CESSNA;150;AIR;REC;Substantial;VMC;;Landing;2023;10;4;2023-10;0,0;Instructional
CEN24LA026;2023-10-24 16:15:00+00:00;Savoy;Illinois;None;0,0;0,0;0,0;0,0;0,0;40,038;-88,2765;PIPER;PA-44-180;AIR;REC;Substantial;VMC;University of Illinois;Landing;2023;10;4;2023-10;0,0;Commercial Non-Scheduled
CEN24LA020;2023-10-23 16:11:00+00:00;Pierre;South Dakota;Fatal;1,0;1,0;0,0;2,0;0,0;44,398414;-100,37172;PIPER;PA 46-350P;AIR;TP;Substantial;VMC;;Initial Climb;2023;10;4;2023-10;2,0;Personal
CEN24LA023;2023-10-22 19:00:00+00:00;Mount Pleasant;Michigan;None;0,0;0,0;0,0;0,0;0,0;43,621443;-84,740939;PIPER;PA-28-201T;AIR;REC;Substantial;VMC;;Landing;2023;10;4;2023-10;0,0;Personal
ERA24LA014;2023-10-22 15:15:00+00:00;Ottawa;Ohio;Minor;0,0;0,0;1,0;1,0;0,0;41,01707;-84,09306;PIPER;PA-24-250;AIR;REC;Substantial;VMC;;Enroute;2023;10;4;2023-10;1,0;Personal
ERA24LA086;2023-10-22 14:00:00+00:00;Morganton;North Carolina;None;0,0;0,0;0,0;0,0;0,0;35,819809;-81,611685;MOONEY;M20C;AIR;REC;Substantial;VMC;;Takeoff;2023;10;4;2023-10;0,0;Aerial Work
ERA24LA018;2023-10-22 09:35:00+00:00;Knoxville;Tennessee;None;0,0;0,0;0,0;0,0;0,0;35,900691;-83,962709;ROTH FRANK RONALD;AVID AIRCRAFT;AIR;REC;Substantial;VMC;;Initial Climb;2023;10;4;2023-10;0,0;Personal
CEN24LA022;2023-10-21 19:35:00+00:00;Iola;Kansas;Minor;0,0;0,0;1,0;1,0;0,0;37,873611;-95,353333;PIPER;PA-28-181;AIR;REC;Substantial;VMC;Toby Baker;Enroute;2023;10;4;2023-10;1,0;Commercial Non-Scheduled
ERA24LA016;2023-10-21 13:40:00+00:00;Richmond;Virginia;None;0,0;0,0;0,0;0,0;0,0;37,708944;-77,436639;CESSNA;172L;AIR;REC;Substantial;VMC;;Enroute;2023;10;4;2023-10;0,0;Instructional
ERA24LA021;2023-10-21 13:00:00+00:00;Orangeburg;South Carolina;None;0,0;0,0;0,0;0,0;0,0;33,464015;-80,856435;CESSNA;172;AIR;REC;Substantial;VMC;;Taxi;2023;10;4;2023-10;0,0;Instructional
CEN24LA031;2023-10-21 08:28:00+00:00;Manhattan;Kansas;Serious;0,0;2,0;0,0;2,0;0,0;39,246181;-96,594065;POWRACHUTE;PEGASUS;PPAR;REC;Substantial;VMC;;Maneuvering;2023;10;4;2023-10;2,0;Personal
CEN24LA019;2023-10-20 18:55:00+00:00;Wichita;Kansas;None;0,0;0,0;0,0;0,0;0,0;37,676924;-97,393676;CESSNA;172C;AIR;REC;Substantial;VMC;;Approach;2023;10;4;2023-10;0,0;Personal
ERA24LA017;2023-10-20 16:00:00+00:00;Tellico Plains;Tennessee;None;0,0;0,0;0,0;0,0;0,0;35,361245;-84,294645;AVIAT;A1;AIR;REC;Substantial;VMC;;Landing;2023;10;4;2023-10;0,0;Personal
ERA24LA020;2023-10-20 15:53:00+00:00;Jackson;Tennessee;None;0,0;0,0;0,0;0,0;0,0;35,599881;-88,915612;PIPER;PA-28-180;AIR;REC;Substantial;VMC;OLD SCHOOL AIRCRAFT LLC;Landing;2023;10;4;2023-10;0,0;Personal
WPR24LA021;2023-10-19 20:42:00+00:00;The Dalles;Oregon;Minor;0,0;0,0;1,0;1,0;0,0;45,58;-121,15;CESSNA;152;AIR;REC;Substantial;VMC;HILLSBORO AERO ACADEMY LLC;Approach;2023;10;4;2023-10;1,0;Instructional
DCA24LA043;2023-10-18 23:55:00+00:00;Chicago;Illinois;None;0,0;0,0;0,0;0,0;0,0;41,991893;-87,927607;BOEING;787;AIR;TF;Minor;VMC;UNITED AIRLINES INC;Taxi;2023;10;4;2023-10;0,0;Commercial Non-Scheduled
ERA24LA012;2023-10-18 15:11:00+00:00;Atlanta;Georgia;None;0,0;0,0;0,0;0,0;0,0;33,867639;-84,30442;BEECH;300;AIR;TP;Substantial;VMC;CSW AVIATION LLC;Landing;2023;10;4;2023-10;0,0;Business
WPR24LA022;2023-10-18 13:39:00+00:00;Bandera;Washington;None;0,0;0,0;0,0;0,0;0,0;47,395369;-121,53647;CESSNA;172N;AIR;REC;Substantial;VMC;;Landing;2023;10;4;2023-10;0,0;Personal
